food_name,food_type,energy,proteins,total_fat,water,carbohydrates_total,calcium,iron,sodium
Atún vegano,Alimentos Preparados,152.0,11.9,3.1,61.3,21.2,87.0,1.3,63.0
Caldo,Alimentos Preparados,38.0,2.2,0.2,32.6,6.9,17.0,0.45,286.0
Caldo de carne,Alimentos Preparados,43.0,2.6,0.2,19.9,7.6,8.0,0.7,96.0
Caldo de cordero,Alimentos Preparados,25.0,1.2,0.6,7.4,3.9,3.0,0.15,69.0
Caldo de gallina,Alimentos Preparados,53.0,3.8,0.6,21.5,8.1,8.0,0.67,154.0
Caldo de mote,Alimentos Preparados,72.0,2.8,0.5,16.7,13.9,11.0,0.88,306.0
Caldo de pescado,Alimentos Preparados,32.0,1.0,0.1,11.3,7.3,5.0,0.47,76.0
Caldo de pollo,Alimentos Preparados,11.0,0.5,0.1,3.2,2.0,2.0,0.2,14.0
Caldo de res,Alimentos Preparados,50.0,1.9,0.1,16.9,11.1,9.0,0.79,16.0
Carpaccio de pescado,Alimentos Preparados,88.0,14.0,1.9,76.6,3.3,35.0,1.34,907.0
Causa,Alimentos Preparados,95.0,4.7,2.5,77.5,14.1,27.0,0.77,261.0
Causa de palta,Alimentos Preparados,140.0,1.4,11.9,45.7,9.6,18.0,0.36,156.0
Causa de pescado,Alimentos Preparados,125.0,3.2,4.3,70.2,18.8,11.0,0.46,110.0
Causa de pollo,Alimentos Preparados,129.0,4.5,5.8,72.1,15.5,19.0,0.73,285.0
Causa de pulpa de cangrejo,Alimentos Preparados,215.0,6.7,17.6,65.4,9.4,25.0,0.99,104.0
Causa criolla,Alimentos Preparados,174.0,2.4,10.7,66.5,18.0,16.0,0.51,542.0
Causa rellena,Alimentos Preparados,121.0,3.7,4.2,72.5,17.5,15.0,0.57,247.0
Cazuela,Alimentos Preparados,33.0,1.9,0.8,14.4,4.5,5.0,0.61,66.0
Cazuela de pollo,Alimentos Preparados,39.0,2.2,0.6,24.7,6.5,10.0,0.39,214.0
Cazuela de res,Alimentos Preparados,27.0,1.3,0.1,13.7,5.2,6.0,0.25,275.0
Cebiche de pescado,Alimentos Preparados,90.0,7.3,1.4,75.3,13.0,24.0,0.97,385.0
Cebiche de pescado con chicharrón de pota,Alimentos Preparados,147.0,6.9,2.7,64.3,24.8,21.0,1.37,70.0
Cebiche de pescado con pota,Alimentos Preparados,69.0,4.4,0.2,80.1,14.1,29.0,0.93,79.0
Cebiche de pota,Alimentos Preparados,53.0,5.1,0.4,66.2,7.8,19.0,0.59,104.0
Cebiche mixto,Alimentos Preparados,70.0,8.4,0.5,81.3,8.8,28.0,0.95,84.0
Cebiche y chilcano de pescado,Alimentos Preparados,77.0,6.3,2.9,42.7,5.8,12.0,0.51,553.0
Chaque,Alimentos Preparados,66.0,5.5,0.6,42.6,9.5,16.0,2.65,159.0
Chilcano de pescado,Alimentos Preparados,15.0,2.3,0.2,14.0,0.5,5.0,0.2,318.0
Chicharrón con sarsa criolla y leche de tigre,Alimentos Preparados,66.0,5.7,0.7,49.3,9.3,13.0,0.79,135.0
Chicharrón de pollo,Alimentos Preparados,100.0,2.7,1.6,74.0,20.2,31.0,0.55,255.0
Chicharron de pota,Alimentos Preparados,253.0,5.8,15.0,54.4,23.8,23.0,2.12,93.0
Choritos a la chalaca,Alimentos Preparados,65.0,6.2,1.2,82.7,8.6,67.0,2.86,29.0
Choclo a la huancaína,Alimentos Preparados,111.0,5.4,5.4,40.8,12.0,57.0,0.87,349.0
Choclo con queso,Alimentos Preparados,39.0,2.5,2.8,8.3,0.9,111.0,0.19,0.0
Chupe de camarón,Alimentos Preparados,57.0,1.8,1.9,16.0,8.2,21.0,0.27,157.0
Chupe de cangrejo,Alimentos Preparados,27.0,1.9,0.3,14.0,4.4,5.0,0.2,25.0
Chupe de chochoca,Alimentos Preparados,53.0,1.6,1.6,21.4,8.3,15.0,0.4,260.0
Chupe de choro,Alimentos Preparados,45.0,2.2,0.7,24.8,6.9,20.0,0.57,136.0
Chupe de habas,Alimentos Preparados,31.0,1.5,0.4,14.8,5.9,13.0,0.43,28.0
Chupe de mariscos,Alimentos Preparados,42.0,3.6,1.2,30.8,4.3,18.0,0.33,71.0
Chupe de pescado,Alimentos Preparados,48.0,2.7,1.3,32.7,6.9,24.0,0.48,237.0
Chupe de pollo,Alimentos Preparados,36.0,2.8,0.9,20.2,4.3,12.0,0.46,142.0
Chupe de trigo,Alimentos Preparados,16.0,0.6,0.3,12.0,2.8,8.0,0.33,205.0
Chupe mixto,Alimentos Preparados,15.0,1.4,0.4,13.0,1.6,12.0,0.27,125.0
Consomé de pollo,Alimentos Preparados,30.0,2.6,1.1,13.7,2.3,3.0,0.83,208.0
Crema de arveja,Alimentos Preparados,59.0,3.2,1.0,25.6,11.3,15.0,0.7,105.0
Crema de ocopa,Alimentos Preparados,109.0,3.1,3.6,71.0,16.9,78.0,0.66,77.0
Crema de pimiento,Alimentos Preparados,108.0,4.4,4.0,76.3,13.9,137.0,0.8,36.0
Crema de rocoto,Alimentos Preparados,129.0,3.1,6.3,68.8,15.9,62.0,0.59,120.0
Crema de verdura,Alimentos Preparados,16.0,0.6,0.9,28.0,2.0,24.0,0.15,236.0
Crema de zapallo,Alimentos Preparados,24.0,0.7,0.9,30.3,3.8,18.0,0.28,109.0
Croquetas,Alimentos Preparados,175.0,4.2,11.6,25.2,15.3,41.0,1.72,336.0
Ensalada,Alimentos Preparados,98.0,1.9,7.9,79.4,7.9,30.0,0.46,221.0
Ensalada cesar,Alimentos Preparados,76.0,4.7,4.8,84.1,4.6,198.0,0.54,158.0
Ensalada de atún,Alimentos Preparados,82.0,3.9,1.3,79.3,14.6,25.0,0.62,81.0
Ensalada de cocona,Alimentos Preparados,45.0,1.2,0.4,84.9,10.4,17.0,1.2,850.0
Ensalada de fideos,Alimentos Preparados,273.0,5.9,11.4,41.4,39.3,40.0,2.96,396.0
Ensalada de lechuga,Alimentos Preparados,62.0,0.6,5.7,90.6,2.6,47.0,0.14,62.0
Ensalada de verduras,Alimentos Preparados,58.0,1.1,4.2,87.8,6.0,30.0,0.27,55.0
Ensalada rusa,Alimentos Preparados,36.0,0.7,2.7,52.4,4.3,24.0,0.25,107.0
Flauta rellena,Alimentos Preparados,123.0,13.3,3.2,68.2,12.5,21.0,1.33,756.0
Huevo a la rusa,Alimentos Preparados,89.0,3.0,3.6,75.4,12.4,30.0,0.73,113.0
Huevitos en salsa golf,Alimentos Preparados,85.0,0.9,7.5,80.8,4.4,30.0,0.28,300.0
Hummus,Alimentos Preparados,212.0,7.0,3.9,7.8,38.0,78.0,3.63,85.0
Menestrón con pollo,Alimentos Preparados,21.0,0.8,0.3,10.7,3.9,10.0,0.32,97.0
Menestrón con res,Alimentos Preparados,48.0,2.5,0.4,22.1,9.5,20.0,0.87,152.0
Ocopa a la arequipeña,Alimentos Preparados,139.0,4.8,6.2,68.7,16.9,119.0,0.77,87.0
Palta rellena,Alimentos Preparados,218.0,3.7,18.7,65.7,10.3,25.0,0.79,266.0
Pan al ajo,Alimentos Preparados,265.0,7.0,9.1,29.3,40.7,33.0,3.83,294.0
Papa a la huancaína,Alimentos Preparados,118.0,3.7,4.0,66.3,17.6,79.0,0.62,126.0
Papas a la rioja,Alimentos Preparados,60.0,2.5,1.7,51.7,8.9,21.0,0.62,37.0
Papa con huevo,Alimentos Preparados,116.0,6.3,7.1,65.9,7.7,246.0,1.01,114.0
Papas fritas,Alimentos Preparados,359.0,1.4,33.4,49.6,14.9,6.0,0.33,15.0
Papa rellena,Alimentos Preparados,93.0,5.1,0.7,75.0,17.4,29.0,1.3,263.0
Papa rellena con ensalada,Alimentos Preparados,135.0,3.3,6.0,71.9,17.6,30.0,0.79,87.0
Papa rellena con sarsa criolla,Alimentos Preparados,160.0,3.9,9.6,68.7,16.0,23.0,1.16,168.0
Parihuela,Alimentos Preparados,52.0,5.6,0.5,36.0,5.5,21.0,0.74,123.0
Pastel de papa,Alimentos Preparados,138.0,6.2,6.1,70.4,14.7,110.0,0.9,300.0
Patasca,Alimentos Preparados,69.0,3.3,1.4,12.7,10.5,13.0,0.57,91.0
Pejerrey arrebosado,Alimentos Preparados,172.0,6.9,9.3,66.5,15.7,39.0,0.99,248.0
Rocoto relleno,Alimentos Preparados,136.0,6.6,7.5,73.2,11.2,102.0,1.1,74.0
Salpicón de atún,Alimentos Preparados,253.0,7.9,11.0,43.3,32.4,34.0,2.47,1686.0
Salpicón de pollo,Alimentos Preparados,120.0,4.6,5.5,73.2,13.9,23.0,0.82,207.0
Salpicón de verduras,Alimentos Preparados,169.0,3.3,10.9,67.4,18.0,51.0,0.54,414.0
Sancochado con pollo,Alimentos Preparados,58.0,5.0,0.7,39.4,7.8,15.0,0.52,30.0
Sancochado con res,Alimentos Preparados,35.0,1.7,0.2,22.4,6.8,10.0,0.33,133.0
Shambar,Alimentos Preparados,62.0,4.3,1.0,21.9,9.1,21.0,0.97,218.0
Solterito,Alimentos Preparados,85.0,5.0,2.6,77.7,13.0,120.0,1.04,184.0
Sopa a la minuta,Alimentos Preparados,40.0,3.6,0.4,23.1,5.6,10.0,0.73,103.0
Sopa a la minuta de pollo,Alimentos Preparados,60.0,2.9,1.3,19.9,9.0,13.0,0.98,431.0
Sopa campesina,Alimentos Preparados,45.0,2.2,0.4,10.1,8.5,13.0,0.74,72.0
Sopa chilena,Alimentos Preparados,21.0,2.1,0.3,9.0,3.3,7.0,0.46,305.0
Sopa criolla con pollo,Alimentos Preparados,19.0,1.0,0.5,9.2,2.9,10.0,0.38,96.0
Sopa criolla con res,Alimentos Preparados,41.0,3.1,0.6,19.9,6.0,6.0,0.75,302.0
Sopa de arroz,Alimentos Preparados,26.0,1.4,0.5,11.4,3.9,3.0,0.37,173.0
Sopa de arroz con res,Alimentos Preparados,16.0,0.4,0.0,8.1,3.6,3.0,0.08,71.0
Sopa de arverja,Alimentos Preparados,94.0,2.9,0.4,8.9,20.2,7.0,0.5,20.0
Sopa de cangrejo,Alimentos Preparados,35.0,1.4,0.1,16.6,7.5,7.0,0.49,273.0
Sopa de casa,Alimentos Preparados,52.0,2.1,0.3,18.9,10.4,9.0,0.68,214.0
Sopa de casa con res,Alimentos Preparados,40.0,2.2,0.2,25.4,7.9,10.0,0.58,293.0
Sopa de choro,Alimentos Preparados,32.0,1.2,0.3,20.5,6.6,15.0,0.52,234.0
Sopa de fideos,Alimentos Preparados,31.0,1.5,0.5,11.5,5.5,4.0,0.61,174.0
Sopa de fideos con res,Alimentos Preparados,50.0,2.9,0.5,25.9,9.4,15.0,1.02,238.0
Sopa de frejoles,Alimentos Preparados,58.0,3.4,0.5,18.2,10.3,16.0,0.97,119.0
Sopa de gallina,Alimentos Preparados,38.0,2.6,0.3,24.2,6.6,9.0,0.48,349.0
Sopa de habas,Alimentos Preparados,54.0,2.2,0.7,24.4,10.1,40.0,0.97,40.0
Sopa de hueso de res,Alimentos Preparados,20.0,0.4,0.2,9.7,4.0,4.0,0.11,160.0
Sopa de leche,Alimentos Preparados,41.0,1.5,0.8,19.3,6.9,18.0,0.27,274.0
Sopa de menudencia,Alimentos Preparados,56.0,2.7,0.2,20.4,11.3,12.0,0.98,165.0
Sopa de morón con pollo,Alimentos Preparados,61.0,3.1,1.4,42.9,11.0,19.0,1.93,348.0
Sopa de morón con res,Alimentos Preparados,17.0,0.8,0.1,16.0,3.8,7.0,0.4,126.0
Sopa de mote,Alimentos Preparados,70.0,2.2,0.6,12.7,14.1,10.0,0.76,394.0
Sopa de mote con res,Alimentos Preparados,38.0,1.5,0.4,6.9,7.1,4.0,0.41,255.0
Sopa de papa,Alimentos Preparados,95.0,1.7,6.0,82.5,8.7,21.0,0.8,101.0
Sopa de pescado,Alimentos Preparados,51.0,1.9,0.4,24.9,10.1,10.0,0.3,184.0
Sopa de pollo,Alimentos Preparados,38.0,2.3,0.6,20.0,6.3,9.0,0.68,190.0
Sopa de res,Alimentos Preparados,36.0,2.0,0.3,20.8,6.8,10.0,0.58,159.0
Sopa de sémola,Alimentos Preparados,50.0,3.5,1.6,24.8,5.9,11.0,1.09,46.0
Sopa de sémola con pollo,Alimentos Preparados,35.0,2.1,0.8,17.8,5.2,8.0,0.57,222.0
Sopa de sémola con res,Alimentos Preparados,54.0,2.6,0.3,29.7,11.4,19.0,0.47,212.0
Sopa de trigo,Alimentos Preparados,25.0,1.3,0.5,25.7,4.4,9.0,0.42,349.0
Sopa de trigo con pollo,Alimentos Preparados,43.0,2.1,0.7,14.1,7.0,10.0,0.69,329.0
Sopa de trigo con res,Alimentos Preparados,24.0,1.7,0.2,24.5,4.1,11.0,0.39,74.0
Sopa de verduras,Alimentos Preparados,34.0,2.5,0.2,25.5,5.9,10.0,0.65,234.0
Sopa de verduras con pollo,Alimentos Preparados,37.0,2.5,0.3,22.0,6.5,6.0,0.53,259.0
Sopa de verduras con res,Alimentos Preparados,28.0,1.5,0.1,16.5,5.6,7.0,0.49,27.0
Sopa wantán,Alimentos Preparados,62.0,3.5,0.5,11.6,10.8,7.0,0.91,235.0
Sustancia,Alimentos Preparados,60.0,3.3,1.1,25.3,9.5,8.0,1.29,574.0
Sustancia de pollo,Alimentos Preparados,49.0,3.6,0.4,18.3,7.8,7.0,0.66,121.0
Sustancia de res,Alimentos Preparados,41.0,1.9,0.6,12.2,7.4,8.0,0.72,156.0
Tamal de pollo,Alimentos Preparados,185.0,6.8,14.6,68.4,7.7,25.0,1.25,589.0
Tamal verde,Alimentos Preparados,156.0,3.7,6.9,61.4,22.6,29.0,1.24,901.0
Tequeños,Alimentos Preparados,556.0,8.4,45.2,15.7,29.4,130.0,0.75,2.0
Tequeños con crema a la huancaína,Alimentos Preparados,400.0,10.8,20.5,18.2,41.6,180.0,0.96,142.0
Tequeños con guacamole,Alimentos Preparados,350.0,7.7,21.5,36.2,32.6,91.0,0.93,317.0
Tequeños de queso,Alimentos Preparados,351.0,6.7,22.0,34.3,35.1,56.0,0.75,251.0
Tiradito de pejerrey,Alimentos Preparados,95.0,6.9,1.0,75.0,14.8,44.0,0.59,359.0
Wantán frito,Alimentos Preparados,243.0,6.6,5.2,14.6,42.3,23.0,1.04,87.0
Yucas rellenas,Alimentos Preparados,147.0,4.0,8.2,69.6,16.9,24.0,0.87,45.0
Ensalada de palta*,Alimentos Preparados,36.0,1.0,3.0,92.2,2.7,0.0,0.54,0.0
Adobo de cerdo con arroz,Alimentos Preparados,174.0,6.3,1.9,21.3,31.8,8.0,0.66,437.0
Adobo de cerdo con menestra y arroz,Alimentos Preparados,165.0,9.7,3.4,18.3,23.8,34.0,1.68,778.0
Adobo de cerdo con puré y arroz,Alimentos Preparados,146.0,4.8,5.0,41.1,20.3,25.0,0.55,368.0
Adobo de pollo con arroz,Alimentos Preparados,144.0,6.6,2.1,43.5,25.1,12.0,0.67,99.0
Adobo de pollo con ensalada y arroz,Alimentos Preparados,145.0,4.9,2.2,34.0,26.0,13.0,0.7,316.0
Adobo de res con arroz y puré,Alimentos Preparados,126.0,5.6,1.8,50.9,22.1,37.0,1.16,78.0
Adobo de res con menestra y arroz,Alimentos Preparados,155.0,7.7,1.7,19.3,27.8,36.0,1.96,195.0
Aeropuerto de pollo,Alimentos Preparados,212.0,6.5,2.5,28.7,39.8,18.0,1.56,137.0
Aeropuerto tacon pa,Alimentos Preparados,177.0,7.6,3.4,19.3,28.7,9.0,1.13,109.0
Ají de pollo con arroz,Alimentos Preparados,137.0,5.4,2.8,39.3,22.3,23.0,0.81,131.0
Albóndigas en salsa con arroz,Alimentos Preparados,133.0,6.3,3.6,37.4,18.3,8.0,1.16,36.0
Alita broaster con papas fritas y arroz,Alimentos Preparados,272.0,5.7,18.7,35.7,20.3,9.0,0.74,588.0
Anticucho con papa y arroz,Alimentos Preparados,114.0,9.3,3.2,73.3,12.1,36.0,1.95,120.0
Arroz a la jardinera con pollo,Alimentos Preparados,127.0,5.7,2.3,36.8,20.5,16.0,0.83,203.0
Arroz a la jardinera con pollo frito,Alimentos Preparados,167.0,4.1,5.3,33.8,25.8,16.0,0.63,116.0
Arroz arabe con pollo,Alimentos Preparados,110.0,8.0,1.5,62.4,16.0,22.0,1.02,586.0
"Arroz blanco con filete de pollo, papas sancochadas y ensalada",Alimentos Preparados,146.0,6.5,2.5,41.5,23.8,15.0,0.69,76.0
Arroz chaufa con pollo chijaukay,Alimentos Preparados,214.0,7.5,9.4,26.2,23.7,16.0,2.1,641.0
Arroz chaufa con pollo al tamarindo,Alimentos Preparados,129.0,6.3,1.4,41.8,22.2,9.0,0.71,143.0
Arroz chaufa con pollo taypa especial,Alimentos Preparados,124.0,8.9,4.4,48.2,11.7,10.0,0.9,248.0
Arroz chaufa de cerdo,Alimentos Preparados,194.0,6.8,4.9,20.2,29.6,10.0,0.55,23.0
Arroz chaufa de mariscos,Alimentos Preparados,123.0,6.2,1.7,26.3,19.5,8.0,0.46,218.0
Arroz chaufa de pollo,Alimentos Preparados,173.0,6.7,3.0,23.7,28.4,11.0,0.72,209.0
Arroz chaufa de res,Alimentos Preparados,254.0,6.3,14.9,22.6,23.1,9.0,1.0,1119.0
Arroz chaufa especial,Alimentos Preparados,205.0,10.5,7.5,28.3,23.0,19.0,0.83,114.0
Arroz con carne,Alimentos Preparados,119.0,4.9,0.5,11.1,23.6,13.0,0.98,18.0
Arroz con cerdo y sarsa criolla,Alimentos Preparados,140.0,4.1,2.9,37.4,24.2,17.0,0.89,765.0
Arroz con frejol y seco de res,Alimentos Preparados,120.0,6.3,1.7,20.7,20.2,24.0,1.43,247.0
Arroz con frejoles y seco de pollo,Alimentos Preparados,130.0,6.8,2.4,29.5,20.1,23.0,1.23,129.0
Arroz con lentejas y churrasco,Alimentos Preparados,157.0,9.4,2.9,24.0,23.1,12.0,0.81,509.0
Arroz con mariscos,Alimentos Preparados,127.0,5.6,1.5,30.6,21.8,14.0,0.67,124.0
Arroz con pato,Alimentos Preparados,174.0,5.6,7.1,35.0,21.3,15.0,1.01,471.0
Arroz con pollo,Alimentos Preparados,144.0,6.9,2.2,38.3,23.6,20.0,0.9,241.0
Arroz tapado,Alimentos Preparados,157.0,7.3,4.4,34.1,21.4,10.0,1.28,115.0
Arvejita verde partida con estofado de pollo y arroz,Alimentos Preparados,142.0,8.8,2.8,45.0,20.2,16.0,0.9,613.0
Arvejita verde partida con guiso de pollo y arroz,Alimentos Preparados,143.0,7.8,1.2,38.4,24.5,9.0,0.92,130.0
Arvejita verde partida con hígado frito y arroz,Alimentos Preparados,150.0,4.6,1.1,14.4,29.8,15.0,0.85,198.0
Arvejita verde partida con pollo al horno y arroz,Alimentos Preparados,124.0,7.3,3.4,35.5,15.6,9.0,0.77,324.0
Arvejita verde partida con pescado frito y arroz,Alimentos Preparados,255.0,5.2,13.7,8.2,27.8,10.0,0.75,81.0
Asado de cerdo con arvejita verde y arroz,Alimentos Preparados,129.0,9.4,1.8,52.6,19.5,73.0,2.7,107.0
Asado de cerdo con menestra y arroz,Alimentos Preparados,153.0,8.0,2.2,18.8,24.9,32.0,1.35,45.0
Asado de pollo con arroz,Alimentos Preparados,150.0,8.0,3.5,47.7,20.9,10.0,0.82,162.0
Asado de pollo con menestra y arroz,Alimentos Preparados,124.0,7.4,1.5,25.0,19.8,21.0,1.19,170.0
Asado de pollo con puré y arroz,Alimentos Preparados,148.0,6.4,2.7,34.6,23.7,10.0,0.62,496.0
Asado de res con arroz,Alimentos Preparados,147.0,4.3,0.6,41.0,30.4,18.0,0.88,44.0
Asado de res con menestra y arroz,Alimentos Preparados,104.0,5.7,0.9,13.8,18.3,17.0,1.34,74.0
Asado de res con puré y arroz,Alimentos Preparados,115.0,6.1,1.5,36.2,19.6,13.0,0.97,103.0
Bisteck de res a lo pobre con arroz,Alimentos Preparados,167.0,7.6,5.7,53.8,21.5,14.0,1.73,251.0
Bisteck de res con arroz,Alimentos Preparados,130.0,6.7,2.1,55.3,20.7,19.0,1.1,73.0
Bisteck de res con papas fritas y arroz,Alimentos Preparados,96.0,3.4,3.1,25.8,13.5,9.0,0.59,183.0
Cabrito a la norteña con arroz,Alimentos Preparados,134.0,7.3,1.7,45.9,22.5,15.0,0.84,429.0
Cabrito con frejoles y arroz,Alimentos Preparados,167.0,5.5,7.5,44.7,19.3,24.0,1.06,702.0
Carapulcra con arroz,Alimentos Preparados,151.0,6.1,4.0,43.4,24.3,27.0,1.58,158.0
Carapulcra de cerdo con arroz,Alimentos Preparados,180.0,8.8,3.3,26.4,29.5,15.0,1.24,541.0
Carne de res con ensalada y arroz,Alimentos Preparados,215.0,6.9,10.5,30.5,22.7,11.0,1.27,447.0
Cau cau con arroz,Alimentos Preparados,114.0,5.3,2.8,46.9,16.9,27.0,0.49,114.0
Causa con pollo al horno y arroz,Alimentos Preparados,130.0,3.3,2.3,49.6,24.1,15.0,0.63,67.0
Cebiche con chicharrón,Alimentos Preparados,164.0,9.1,7.9,66.2,15.1,20.0,0.83,246.0
Cebiche de pescado,Alimentos Preparados,76.0,9.2,1.0,77.9,7.0,22.0,0.84,961.0
Cebiche de pollo con arroz,Alimentos Preparados,138.0,7.6,2.3,38.7,21.7,10.0,0.75,430.0
Cerdo al horno con arroz,Alimentos Preparados,161.0,7.7,3.5,35.2,23.3,12.0,0.65,182.0
Chanfainita con arroz,Alimentos Preparados,151.0,4.3,1.8,24.2,28.6,4.0,0.96,263.0
Chanfainita con tallarín,Alimentos Preparados,153.0,5.8,0.7,51.0,31.4,18.0,2.43,25.0
Chicharrón de pescado,Alimentos Preparados,102.0,5.6,4.3,77.7,11.7,21.0,1.8,40.0
Chicharrón de pescado con arroz,Alimentos Preparados,202.0,6.2,7.5,38.9,27.0,18.0,0.72,301.0
Chicharrón de pescado con ensalada y arroz,Alimentos Preparados,241.0,6.8,10.5,34.7,29.9,14.0,1.33,190.0
Chicharrón de pescado con frejoles y arroz,Alimentos Preparados,107.0,4.1,1.2,32.2,20.2,24.0,1.0,150.0
Chicharron de pescado con yuca frita y arroz,Alimentos Preparados,319.0,7.5,28.2,51.2,11.0,16.0,0.59,287.0
Chicharrón de pescado con  yucas doradas,Alimentos Preparados,195.0,9.9,6.9,56.4,23.4,54.0,2.37,561.0
Chicharrón de pollo con ensalada y arroz,Alimentos Preparados,202.0,6.6,9.0,39.5,23.3,7.0,1.12,89.0
Chicharrón mixto,Alimentos Preparados,222.0,9.3,14.1,54.3,14.3,20.0,1.13,398.0
Chicharrón mixto con sarsa criolla y arroz,Alimentos Preparados,168.0,6.3,3.8,38.0,26.3,25.0,1.13,266.0
Chicharrón mixto con yuca frita,Alimentos Preparados,168.0,10.5,8.8,64.5,13.4,42.0,1.55,90.0
Chicken quesadilla,Alimentos Preparados,193.0,12.2,9.9,61.6,14.3,122.0,0.85,226.0
Chuleta a la parrilla con arroz,Alimentos Preparados,111.0,6.3,1.8,59.7,17.2,24.0,0.53,131.0
Chuleta de cerdo con papas fritas y arroz,Alimentos Preparados,178.0,6.7,8.0,48.0,19.5,10.0,0.53,263.0
Churrasco con arroz,Alimentos Preparados,100.0,3.8,0.7,36.8,19.1,8.0,0.65,161.0
Churrasco con frejoles y arroz,Alimentos Preparados,171.0,10.9,6.4,20.7,17.8,36.0,2.14,222.0
"Churrasco con papas fritas, ensalada y arroz",Alimentos Preparados,156.0,4.6,4.3,45.2,24.4,13.0,0.99,172.0
Combinado de pollo,Alimentos Preparados,181.0,6.5,1.4,26.4,35.6,18.0,2.26,402.0
Combinado de res,Alimentos Preparados,151.0,4.5,3.8,31.4,24.8,16.0,1.4,37.0
Combinado de tallarín rojo con frejoles y arroz,Alimentos Preparados,193.0,10.4,3.6,36.2,32.8,26.0,2.17,178.0
Cordero a la norteña con frejoles y arroz,Alimentos Preparados,172.0,10.4,6.3,13.8,21.3,64.0,1.93,394.0
Costillas barbiquiu con arroz y camote,Alimentos Preparados,190.0,6.5,8.2,33.0,22.5,18.0,0.58,393.0
Costillas con papa y arroz,Alimentos Preparados,166.0,8.3,5.7,44.1,20.3,6.0,0.98,104.0
Costillas a la norteña con frejoles y arroz,Alimentos Preparados,152.0,8.0,3.3,34.4,22.2,21.0,1.49,631.0
Encebollado de hígado con frejoles y arroz,Alimentos Preparados,161.0,8.8,6.2,47.3,18.1,12.0,2.38,268.0
Ensalada rusa con pollo broaster y arroz,Alimentos Preparados,157.0,8.8,4.9,49.9,19.2,17.0,0.89,22.0
Ensalada rusa con pollo a la brasa y arroz,Alimentos Preparados,146.0,8.8,3.4,45.1,19.7,14.0,0.83,192.0
Ensalada rusa con pollo al horno y arroz,Alimentos Preparados,122.0,7.1,3.3,53.0,16.1,19.0,0.77,213.0
Ensalada rusa con pollo frito y arroz,Alimentos Preparados,173.0,7.3,2.6,43.3,29.6,16.0,0.76,42.0
Escabeche de pescado con arroz,Alimentos Preparados,126.0,5.7,1.8,47.2,21.8,11.0,0.61,97.0
Escabeche de pollo con arroz,Alimentos Preparados,158.0,6.4,2.1,31.4,27.8,10.0,0.83,301.0
Estofado de pavita con arroz y ensalada,Alimentos Preparados,136.0,5.5,3.1,49.1,21.2,10.0,1.09,54.0
Estofado de pollo con arroz,Alimentos Preparados,121.0,8.9,1.6,49.2,17.2,11.0,0.89,153.0
Estofado de pollo con arroz y ensalada,Alimentos Preparados,120.0,5.4,1.6,42.7,20.8,10.0,0.64,384.0
Estofado de pollo con menestra y arroz,Alimentos Preparados,145.0,7.4,2.0,31.8,24.5,17.0,1.16,331.0
Estofado de res con arroz,Alimentos Preparados,141.0,8.3,0.9,33.3,24.0,9.0,1.4,96.0
Estofado de res con menestra y arroz,Alimentos Preparados,131.0,7.4,1.2,34.7,22.5,26.0,1.71,199.0
Estofado de lengua con arroz,Alimentos Preparados,133.0,4.9,5.1,56.3,17.3,12.0,0.83,815.0
Espesado de res con arroz,Alimentos Preparados,212.0,6.8,2.0,37.1,41.8,16.0,1.13,260.0
Fetuccini a lo alfredo,Alimentos Preparados,339.0,9.9,19.9,35.7,31.7,92.0,2.55,745.0
Filete de pescado con arroz,Alimentos Preparados,207.0,5.8,11.5,47.6,20.6,13.0,1.04,707.0
Filete de pescado con menestra y arroz,Alimentos Preparados,166.0,8.0,4.0,27.8,24.4,24.0,1.57,356.0
"Filete de pescado con papas fritas, sarsa criolla y arroz",Alimentos Preparados,138.0,5.5,1.3,38.8,25.6,17.0,0.73,338.0
Filete de pescado en salsa de mariscos,Alimentos Preparados,136.0,6.4,0.8,38.1,25.5,9.0,0.61,69.0
Filete de pollo con papas fritas y arroz,Alimentos Preparados,122.0,7.2,2.9,57.5,16.4,12.0,0.71,252.0
"Filete de pollo con papas fritas, ensalada y arroz",Alimentos Preparados,136.0,6.1,5.9,48.9,14.7,15.0,0.77,543.0
Filete de pollo a la parrilla con ensalada y arroz,Alimentos Preparados,162.0,8.1,2.4,40.0,26.1,23.0,0.77,107.0
Frejoles con asado de carne y arroz,Alimentos Preparados,119.0,6.1,2.3,23.8,18.4,17.0,0.86,334.0
Frejoles con bisteck y arroz,Alimentos Preparados,150.0,9.4,0.9,23.1,25.6,25.0,1.88,85.0
Frejoles con cabrito a la norteña y arroz,Alimentos Preparados,161.0,9.1,5.6,16.9,18.8,22.0,1.34,156.0
Frejoles con pescado y arroz,Alimentos Preparados,161.0,7.1,4.5,18.8,22.9,21.0,1.19,68.0
"Frejoles con pescado, ensalada y arroz",Alimentos Preparados,258.0,4.0,16.3,25.1,23.8,13.0,0.57,649.0
Frejoles con pollo a la norteña y arroz,Alimentos Preparados,114.0,7.0,1.9,23.1,17.5,29.0,1.14,607.0
Frejoles con pollo al vino,Alimentos Preparados,158.0,4.1,2.2,25.4,30.9,9.0,0.68,447.0
Frejoles con seco a la norteña y arroz,Alimentos Preparados,129.0,7.7,1.0,18.8,25.5,21.0,1.62,75.0
